game_pk,date,sp_fip_diff,sp_whip_diff,sp_k_rate_diff,sp_last5_fip_diff,bullpen_score_diff,ops_14d_diff,ops_vs_hand_diff,rpg_14d_diff,home_field,park_factor,home_won
822833,2026-04-08,-0.3000000000000002,0.35,0.0839999999999999,1.11,4.0,-0.2109999999999999,-0.083,-3.19,1,101,1
824374,2026-04-08,-3.72,-0.5099999999999998,0.0919999999999999,-4.9,-0.1000000000000014,-0.1899999999999999,0.023,-2.5,1,112,1
823234,2026-04-08,0.3799999999999999,0.07,-0.001,0.4099999999999992,-24.700000000000003,-0.071,0.037,-0.8199999999999998,1,95,1
822753,2026-04-08,0.9299999999999996,0.1399999999999999,-0.021,2.58,-5.399999999999999,0.122,0.007,1.54,1,100,0
824050,2026-04-08,-2.4000000000000004,-0.3499999999999998,0.0899999999999999,-2.93,-29.5,-0.0989999999999999,-0.03,-0.75,1,101,0
823646,2026-04-08,-1.6300000000000003,0.3899999999999999,0.019,0.8899999999999997,-11.0,0.0789999999999999,-0.0949999999999999,1.37,1,97,0
823000,2026-04-08,-1.99,-0.3699999999999999,0.0709999999999999,-1.8200000000000005,0.0999999999999943,0.0549999999999999,0.01,0.2700000000000004,1,96,0
823885,2026-04-08,-1.4900000000000002,-0.3500000000000001,0.101,-0.5300000000000002,26.5,0.12,0.0,1.6400000000000006,1,96,1
823564,2026-04-08,-1.1399999999999997,-0.1799999999999999,0.004,-0.5099999999999998,20.800000000000004,0.0669999999999999,0.001,0.9000000000000004,1,99,0
823726,2026-04-08,0.6200000000000001,-0.1300000000000001,-0.0189999999999999,1.92,-9.5,-0.026,-0.025,0.1800000000000006,1,102,1
823884,2026-04-09,-0.7999999999999998,-0.3099999999999998,0.09,-3.1,39.0,0.133,0.0,1.75,1,96,1
823565,2026-04-09,-1.0199999999999996,-0.1500000000000001,0.066,-1.7200000000000006,-16.89999999999999,0.0519999999999999,0.03,0.5200000000000005,1,99,0
823724,2026-04-09,-1.3299999999999996,0.0,-0.008,-1.09,-13.0,-0.0159999999999999,0.005,0.33,1,102,1
823645,2026-04-09,-0.3899999999999997,-0.09,0.099,2.58,-16.400000000000006,0.0389999999999999,-0.01,0.8300000000000001,1,97,0
824130,2026-04-09,-1.66,-0.0699999999999998,0.022,0.33,-17.4,0.069,-0.0459999999999999,0.33,1,104,0
823319,2026-04-09,0.9299999999999996,-0.0599999999999998,-0.0579999999999999,3.22,17.6,-0.0749999999999999,-0.0929999999999999,-0.5899999999999999,1,95,1
824695,2026-04-10,0.75,-0.3999999999999999,0.0529999999999999,2.37,-3.6000000000000014,-0.0169999999999999,0.0439999999999999,0.4600000000000008,1,100,0
823482,2026-04-10,0.3900000000000001,0.24,0.026,0.8799999999999999,30.9,-0.03,-0.069,-0.81,1,102,0
824297,2026-04-10,-0.96,-0.6499999999999999,-0.0179999999999999,-2.37,-2.3999999999999986,-0.1039999999999999,0.02,-1.3200000000000005,1,98,1
824534,2026-04-10,-1.8200000000000005,-0.56,0.1389999999999999,-6.98,-22.4,0.008,-0.008,-0.75,1,106,0
822829,2026-04-10,-1.75,-0.4099999999999999,0.044,-4.48,36.1,-0.0439999999999999,0.029,-1.5,1,101,1
823643,2026-04-10,-0.8700000000000001,-0.0599999999999998,-0.006,-0.8900000000000001,7.599999999999994,0.001,-0.0789999999999999,-0.1699999999999999,1,97,0
